id|dur_s|manual_subs
cDi7R1QTs6A|1080.0|NONE
NsZr94Lfjv0|3094.0|en,fa-IR,
v07209ad9vM|1210.0|NONE
8kN91mkmI5M|2240.0|NONE
3_-N91843bY|2608.0|en,fa-IR,
A2RzKfYAdLI|2845.0|NONE
_SJKvM6AUJk|3670.0|NONE
qAGBZxx1AHk|2448.0|NONE
2lWxSVIgvvE|5490.0|en,fa-IR,
_-nk8hFC6Eg|5441.0|en,
yWvtpjUzU58|5381.0|NONE
Feck1FXUJ8k|5376.0|NONE
Tm-BLJmgyNY|5007.0|en,
nR1jfM4I9lA|5321.0|NONE
g_dm8tF0QWw|3262.0|NONE
S1j_dR5vQNU|3254.0|en,fa-IR,
_nsvN8MmMJ0|3384.0|NONE
5qA4JdfvzRs|5567.0|en,fa-IR,
VzhZS1569y4|3908.0|en,fa-IR,
Z0QcsH12hq0|5560.0|NONE
D6nTQ1zvcz4|5559.0|en,
UPdEsfvfACQ|3482.0|NONE
v8WVbfCajak|5431.0|NONE
1l7r_hXb2AY|4867.0|NONE
2G3NQvseIB4|4857.0|NONE
aW1_aOEo9gE|5373.0|en,fa-IR,
4xXznhBIS5o|3479.0|en,fa-IR,
mStCk1e4RY0|3642.0|NONE
GqYZK4vRJZ0|5330.0|en,
DJMfguUjPs8|3154.0|NONE
nAumvK4EnvY|3730.0|NONE
lGIaJCsTkbo|5333.0|NONE
YvDHUF-6oXk|3595.0|NONE
3wXphaGu9vM|4206.0|en,fa-IR,
RXFyYalzDY8|3158.0|NONE
4Jg14kR-1tY|3757.0|NONE
PHSb9FAEKoA|5347.0|NONE
2AKB-wxZlWc|5455.0|NONE
mYj6v3sRkuY|5201.0|en,
hrHdX5ug49Y|5591.0|en,fa-IR,
pnq5KhrOaIo|5529.0|en,
LL3W8eFhxa8|4411.0|en,fa,
s8viw4RJlM4|5534.0|en,
dTguaZuVJO4|5283.0|en,fa,
vFuS77PrJLE|3504.0|en,
2yBnCkXCeh4|5530.0|en,
bUh-R4foENA|4522.0|en,
MyNHFySpBIk|3288.0|en,
hbf8mxpHIiQ|4722.0|en,
vFlHIUoImrM|3062.0|en,
VWrpTJpDFso|4283.0|en,
qryOal5LU98|5497.0|en,
Fc2pbCUTjQI|5502.0|en,
lADJ7vuX4BE|4552.0|en,
tGtLYP8Qz2g|4745.0|en,
UetFQPwuaGA|5277.0|en,fa-IR,
dWVsaSy9HXg|5329.0|en,fa-IR,
OANBzSqko_0|4321.0|en,fa-IR,
Qw0yy-tQgas|5275.0|en-US,fa-IR,
svsc99GcUWw|2059.0|en,fa-IR,
ELIVBSzHWxQ|3891.0|en,fa-IR,
j6WwnOk44MU|4551.0|en-US,fa-IR,
Tj6_bSDW2rM|2114.0|NONE
E-cGpmERYRE|2952.0|en,
_MgzxIJKorg|4771.0|en,fa-IR,
o_WfE1OshIk|4172.0|en,fa-IR,
SOSm9-QAm40|5091.0|en-US,fa-IR,
4lroqXG1X1c|1647.0|NONE
a3U2yi6d7aU|4232.0|en-US,fa-IR,
EJtIMDhJTsI|1633.0|en,
1KLZxgpGMqs|1603.0|NONE
ILaHTACjV1k|3680.0|en,fa-IR,
vNAAqvF6LP8|1238.0|NONE
UouRqqmb7vU|3962.0|en,fa-IR,
ohFKsHXM568|3416.0|en,fa-IR,
ftvZkLUfLao|1819.0|en,
aqkUBLa1JUE|840.0|en,
oBbk8xS7TBc|5272.0|en,fa-IR,
dQRAAWAjHzU|1200.0|NONE
iYEmqt9zjMo|2803.0|en,fa-IR,
IIuFyPnQiCw|1471.0|en,fa-IR,
-empPPtMV1o|3575.0|en,fa-IR,
z4m9qBB9qaU|5108.0|en,fa-IR,
x4Q1ysVx8_0|1348.0|en,fa-IR,
8u_jHZxZHro|3402.0|en,fa-IR,
d4M89XaTeaQ|700.0|en,fa-IR,
QowQ62645PQ|1316.0|en-US,fa-IR,
B3B-mGvApn4|1646.0|NONE
Z0kY8mt6-eg|1507.0|NONE
ydG7mVETth0|1328.0|en-US,fa-IR,
